Date,Headline
2021-06-13,"Amazon India announced the launch of an integrated learning programme for students to learn applied Machine Learning (ML) skills, making them industry ready for careers in the new technology.            		  "
2021-06-13,Nationwide sero survey will help in Covid vaccination plans and lockdown says health experts.            		  
2021-06-13,"More than four lakh (4,48,760) vaccine doses are in the pipeline and will be received by the States and the Union Territories (UTs) within the next 3 days.            		  "
2021-06-13,"The US authorities, Google have been approached by the  J&K Police to share email contents exchanged by Waheed-ur-Rehman Parra, a close aide of PDP chief Mufti, with Pak based leaders, terrorists.            		  "
2021-06-13,"Coal India Ltd is expected to reward its shareholders with an additional final dividend of 20-25 per cent in its board meeting that will declare fourth-quarter financial results, sources said.            		  "
2021-06-13,"The case for widespread use of sniffing dogs to detect Covid, Britain's PM Johnson hints at delay to end of lockdown, and other pandemic-related news across the globe            		  "
2021-06-13,"To plug a major health infrastructure gap in India's fight against Covid-19, especially in rural areas and smaller towns, India has started project 'Extension of Hospitals' in various states.            		  "
2021-06-13,"Amid Covid pandemic and slump in the hospitality industry owing to lockdown and restrictions, ITC Hotels is optimistic about domestic tourism, planning to increase number of properties in Welcomhotel.            		  "
2021-06-13,"The odd-even system in the markets and malls of the national capital will end and all shops will be allowed to open simultaneously from tomorrow, announced Delhi CM Arvind Kejriwal on Sunday.            		  "
2021-06-13,"Shiv Sena was treated as ""slaves"", attempts were made to finish off the party politically when it was in power with the BJP in Maharashtra from 2014-2019, Sena MP Sanjay Raut has alleged.            		  "
2021-06-13,"Asserting that the BJP's ""apathy"" towards protesting farmers will hurt it in the UP Assembly polls, RLD chief Jayant Chaudhary said artificial issues like love jihad, cow terror will not work            		  "
2021-06-13,"State-owned NBCC will submit the detailed project report (DPR) to RINL by month-end for the steel maker's 22.19 acre land in Visakhapatnam city, a popular tourist destination in Andhra Pradesh.            		  "
2021-06-13,New Zealand needed only one ball to wrap up England's innings as Stone departs. Check England vs New Zealand live cricket score and match updates here            		  
2021-06-13,Defence Minister Rajnath Singh has approved budgetary support of nearly Rs 499 crore for research and innovation in the defence sector for the next five years            		  
2021-06-13,"Sun Pharma has no immediate plans to enter into vaccine production as getting into the vertical would require an altogether different manufacturing set-up, as per a top company official.            		  "
2021-06-13,"Realty major DLF aims a 30 per cent jump in its sales bookings to Rs 4,000 crore this fiscal, as the company expects a rise in housing demand despite the Covid-19 pandemic            		  "
2021-06-13,The ex-central bank governor said that earlier expectations of a sharp economic recovery this year have been dashed by the new pandemic wave            		  
2021-06-13,"The Group of Seven leaders aim to end their first summit in two years with promises, including vaccinating the world against coronavirus and tackling climate change.            		  "
2021-06-13,"Reopening of restaurants with 50% capacity and one weekly market per municipal zones will be allowed from June 14, Chief Minister Arvind Kejriwal said on Sunday            		  "
2021-06-13,"The IPO market is getting back on track after a lull of two months, with four companies launching their initial share-sales next week to raise Rs 9,123 crore collectively.            		  "
2021-06-13,"Several hundred Myanmar residents in Britain gathered at the site of the Group of Seven summit in Cornwall, calling for action to save democracy in Myanmar on Saturday            		  "
2021-06-13,"State-owned CIL's 114 ongoing coal projects, costing Rs 20 crore and above, are under different stages of implementation, according to a report.            		  "
2021-06-13,Israel is set to swear in a new government that will send Benjamin Netanyahu into the opposition after a record 12 years in office and end a political crisis that sparked four elections in two years            		  
2021-06-13,"Shops will be open seven days a week from 10am to 8pm compared to the odd-even system now, says Arvind Kejriwal.            		  "
2021-06-13,"FPIs withdrew Rs 2,096 crore from the debt segment during the period under review            		  "
2021-06-13,World Health Organization chief Tedros Ghebreyesus has called on China to cooperate with the ongoing investigation into the origins of the Covid-19 amid renewed call to further probe the virus            		  
2021-06-13,"State-run Bank of Maharashtra is looking to raise up to Rs 2,000 crore through qualified institutional placement (QIP) route before July-end, its Managing Director and CEO A S Rajeev said.            		  "
2021-06-13,"There was a slight dip in Covid-19 cases in Puducherry on Sunday, with the Union  Territory recording 402 cases and seven deaths, taking the  caseload to 1,12,528 and the toll to 1,684            		  "
2021-06-13,"Andaman and Nicobar Islands Covid-19 tally rose to 7,243 as 10 more people tested positive  for the virus, while one new fatality pushed the coronavirus  death toll to 126            		  "
2021-06-13,Royal Enfield it looks to drive in an array of new products for domestic and international markets            		  
2021-06-13,"Saint-Gobain India is looking at a revenue in the range of Rs 750 crore to Rs 1,000 crore in three to five years            		  "
2021-06-13,Pakistan has placed strict restrictions on travellers from 26 countries including India to contain the spread of COVID-19 cases in the country.            		  
2021-06-13,"Total outstanding dues owed by electricity distribution utilities or discoms to power producers fell 11.2% to Rs 81,628 crore in April 2021 from a year ago            		  "
2021-06-13,Skoda Auto is confident of crossing its historic peak sales volumes in India achieved nearly a decade ago by the middle of next year            		  
2021-06-13,Having more of these components in one giant cell helps the virus replicate more efficiently            		  
2021-06-13,"India reported 80,834 fresh Covid-19 cases, the lowest after 71 days, while the daily positivity rate further dropped to 4.25%            		  "
2021-06-13,"Reliance Industries Limited, Tata Consultancy Services, Infosys, Hindustan Unilever Limited and Bajaj Finance were the gainers            		  "
2021-06-13,"Fifty-three shanties were gutted in a fire that broke out near Kalindi Kunj Metro station in south east Delhi, officials said on Sunday            		  "
2021-06-13,"With the addition of 432 fresh coronavirus positive cases, the infection count in Thane district of Maharashtra mounted to 5,24,704, an official said on Sunday.            		  "
2021-06-13,"Mizoram's Covid-19 count crossed the 15,000-mark on Sunday as 346 more people tested positive  for the infection, an official said            		  "
2021-06-13,Tamil Nadu Health Minister Ma Subramanian on Sunday said that the Chief Minister MK Stalin will meet Prime Minister Narendra Modi this week and request for more Covid vaccines            		  
2021-06-13,"The national capital recorded a minimum temperature of 23.8 degrees Celsius on Sunday morning, four notches below the season's average, the India Meteorological Department said            		  "
2021-06-13,"The number of people aged 65 and over is projected to double to more 1.5 billion by 2050, greatly increasing their economic impact            		  "
2021-06-13,"Britain reported another 7,738 Covid-19 cases in the past 24 hours, bringing the total number of coronavirus cases in the country to 4,558,494, according to official figures released Saturday.            		  "
2021-06-13,Brazil's President Jair Bolsonaro led a throng of motorcyclist supporters through the streets of Sao Paulo on Saturday and got hit with a fine for failure to wear a mask            		  
2021-06-13,"West Bengal's Covid-19 toll rose to 16,812 after 81 more people succumbed to the virus on  Saturday, a bulletin released by the state's health department  said            		  "
2021-06-13,An auction for a ride into space next month alongside Jeff Bezos and his brother ended with a winning $28 million bid Saturday.            		  
2021-06-13,The Goa government on Saturday extended the ongoing Covid-induced curfew till June 21            		  
2021-06-13,"The Delhi government has set up a dedicated vaccination centre for its teachers and their family members as a ""token of appreciation"" for the work done by them during the coronavirus pandemic.            		  "
2021-06-13,Coronavirus live updates: ICMR will conduct a national sero survey to assess the spread of Covid-19. Stay tuned for coronavirus related news            		  
2021-06-13,"Obsessed with keeping a lid on borrowing costs, the government is making things worse for the common man by its regressive consumption taxes.            		  "
2021-06-13,Pohjanpalo scored and Lukas Hradecky saved a penalty to give Finland a 1-0 victory over Denmark in a European Championship game overshadowed by Eriksen's collapse on the field            		  
2021-06-13,Romelu Lukaku delivered a heartfelt message to Denmark player Christian Eriksen after scoring the first of his two goals in Belgium's 3-0 win over Russia on Saturday at the European Championship            		  
2021-06-13,"Soaring demand, shortage of containers, saturated ports and too few ships have contributed to the squeeze on transportation capacity on every freight path.            		  "
2021-06-13,The recovery rate among patients in the state has gone up to 79.88 per cent from 79.20 per cent on Friday.            		  
2021-06-13,"Belgium defeated Russia 3-0 in its Euro Cup 2021 opener.. Check Euro Cup's match schedule on June 13 (Indian time), match timings, live streaming and telecast details            		  "
2021-06-13,"Calling for global unity, leadership and solidarity to prevent future pandemics, Modi emphasised the special responsibility of democratic and transparent societies to deal with the challenge            		  "
2021-06-12,"Tide to help Indian small businesses across organized, unorganized and unregistered sectors            		  "
2021-06-12,"As per CB Insights data, as of June 2021, Byju's is the 11th most valuable startup in the world            		  "
2021-06-12,"Rich nations must do more than just donate surplus vaccines if they hope to end the COVID-19 pandemic, according to public health experts and humanitarian groups that are calling for money            		  "
2021-06-12,"Christian Eriksen is awake and is undergoing further examinations at Rigshospitalet, writes Danish federation on twitter            		  "
2021-06-12,"Steel Authority of India is set
to ""dissolve"" its raw material division headquarters in  Kolkata, a decision that would deal  a blow to contractual employees associated with the unit            		  "
2021-06-12,"The increased transmissibility and deaths in May were found linked to B.1.617.2, Principal of Government Medical College (GMC), Jammu Shashi Sudhan Sharma said            		  "
2021-06-12,Rishabh Pant took his senior bowling colleagues to the cleaners with an unbeaten century while opener Shubman Gill also warmed up with a polished 85 during Indian team's intra-squad match simulation            		  
2021-06-12,"The Rajasthan government on Saturday announced a financial relief package for the children who lost their parents to the Covid pandemic, fixing an amount Rs 2,500 per month for them till they turn 18            		  "
2021-06-12,"Shakib Al Hasan has been let off lightly with a three-match suspension from the Dhaka T20 Premier League along with a fine of $5800 (BDT 5 lakh), following his on-field meltdown            		  "
2021-06-12,England on Saturday recalled seasoned pace bowling all-rounder Chris Woakes to their T20 squad after more than five years for the upcoming three-match home series against Sri Lanka starting June 23            		  
2021-06-12,"Company is awaiting the written order of the NCLT approving the Resolution Plan, says the stock exchange            		  "
2021-06-12,"Unseeded Barbora Krejcikova won her first Grand Slam title by beating Anastasia Pavlyuchenkova 6-1, 2-6, 6-4 in the French Open final Saturday.            		  "
2021-06-12,"Infection tally reaches 948,024            		  "
2021-06-12,"The death toll rose to 3,469            		  "
2021-06-12,"In a bid to boost the morale of the country's Olympic-bound athletes, Prime Minister Narendra Modi is set to accord an official send-off to the Indian contingent tentatively between July 10-15.            		  "
2021-06-12,"Death toll reaches 32,788.            		  "
2021-06-12,"On Friday, the highest maximum temperature of 44.2-degree Celsius was reported in Ganganagar in west Rajasthan.            		  "
2021-06-12,"According to various reports, the Tesla Model 3 would be launching in India around December 2021 and it is expected to be priced around Rs 60 lakh            		  "
2021-06-12,The Lancet Covid-19 Commission India Task Force prepared the report after convening an experts group comprising leading paediatricians from the country            		  
2021-06-12,No fresh deaths were reported in state capital Ranchi and East Singhbhum            		  
2021-06-12,"The state's caseload is at 1,702,172            		  "
2021-06-12,"In the latest modification, the department of heavy industries also capped incentives for electric two-wheelers at 40 per cent of the cost of vehicles, up from 20 per cent earlier.            		  "
2021-06-12,"The death toll reached 10,975.            		  "
2021-06-12,"As per EV industry body - Society of Manufacturers of Electric Vehicles - there are 1,800 charging stations in India as of March 2021            		  "
2021-06-12,"The death toll reached 3,368            		  "
2021-06-12,"We need to bring reforms as much as we can, after Covid: NITI Aayog CEO            		  "
2021-06-12,"Under the BJP rule, serious patients are not even getting ambulances, he claimed.            		  "
2021-06-12,"Delhi saw a massive crisis of medical oxygen supply during mid-April to early May period, when several hospitals issued SOS for oxygen.            		  "
2021-06-12,PhonePe says Ventureeast sold shares to Affle in a side deal while engaging on the sale of same shares in favor of PhonePe            		  
2021-06-12,"However, expenditure related to containment of the pandemic is excluded from the scope of this order.            		  "
2021-06-12,This comes a day after Roy rejoined the Trinamool Congress (TMC)            		  
2021-06-12,The EU is angry at British delay in implementing new checks on some goods coming into Northern Ireland from the rest of the UK            		  
2021-06-12,The positivity rate dipped to 0.30 per cent            		  
2021-06-12,"The complete data for Phase I and II, and partial data for Phase III trials of Covaxin have been thoroughly scrutinised by the regulators in India, the firm said            		  "
2021-06-12,This comes amid a major vaccine shortage in the country            		  
2021-06-12,The health ministry said there is a widespread network of government health facilities in rural areas.            		  
2021-06-12,This comes even as a section in the party urged  him to enter the poll fray from the city's Chamarajpet  segment.            		  
2021-06-12,"Adani Cement will manufacture, process all types of cements            		  "
2021-06-12,The sale of platform tickets was suspended to avoid overcrowding at railway stations in view of the Covid-19 crisis.            		  
2021-06-12,"The BSP will fight 20 of the 117 Assembly seats in Punjab, while the rest will be contested by the SAD.            		  "
2021-06-12,"England was only 37 runs ahead at stumps with tailenders Olly Stone, 15 no, and last man James Anderson, yet to score, in the middle. Check England vs New Zealand full scorecard and highlights here            		  "
2021-06-12,"Centre to share 70% of vaccine revenue with states, says FM Sitharaman            		  "
2021-06-12,This is to ease the inoculation process for its staff and their families.            		  
2021-06-12,"The Indian Medical Association will hold a protest on June 18 against assault on doctors, with the slogan of save the saviors'.            		  "
2021-06-12,The UP government claims to be working for small and marginal farmers            		  
2021-06-12,Downing Street sources told the BBC that several options are being evaluated as the latest data is studied before UK PM makes a scheduled announcement regarding lockdown on Monday            		  
2021-06-12,"An ex gratia of Rs 1 lakh and a pension of Rs 1,500 a month will be given to the women whose husband succumbed to the infection            		  "
2021-06-12,-            		  
2021-06-12,"In last year's hajj, as few as 1,000 people already residing in Saudi Arabia were selected to take part in the hajj.            		  "
2021-06-12,China accounts for a over half of global bitcoin production            		  
2021-06-12,"Stalin has written a letter with regard to the meet with Modi to discuss, among other things, GST dues, allocation for various development scheme and NEET.            		  "
2021-06-12,Orders war histories to be compiled within five years            		  
2021-06-12,Recent trends in clean energy spending point to a widening gap between advanced economies and the developing world even though emissions reductions are far more cost-effective in the latter.            		  
2021-06-12,This will boost tourism and industries in the region: Niti Aayog CEO            		  
2021-06-12,"India has so far administered 249,600,304vaccine doses. That is 850.16 per cent of its total caseload, and 17.92 per cent of its population            		  "
2021-06-12,"GST Council approves rate reduction for Remdesivir from 12% to 5%; nil tax on Tocilizumab, Amphotericin; however, the Council agrees to stick to 5% GST on vaccines            		  "
2021-06-12,India is one of the largest producers of this key drug            		  
2021-06-12,The doses arrived in the country in April            		  
2021-06-12,US media outlets are reporting the legislation could force the tech giants to overhaul their business models.            		  
2021-06-12,This comes as the firm saw better demand for completed and new inventories despite the pandemic.            		  
2021-06-12,The officials said Biden wanted G-7 leaders to speak out in a single voice against forced labour practices targeting Uyghur Muslims and other ethnic minorities.            		  
2021-06-12,"Macron offers Johnson a reset in relations, says France and UK have common interests            		  "
2021-06-12,"West must offer an alternative to China, says official, adding that G7 will scold China over Xinjiang forced labour            		  "
2021-06-12,"On Friday, the Karnataka High Court dismissed a petition from Amazon and Flipkart requesting a stay on India's antitrust watchdog CCI's probe into both companies' alleged anti-competitive practices.            		  "
2021-06-12,Mumbai has been witnessing heavy rains since Wednesday.            		  
2021-06-12,The Union Health Ministry has said there is no need to panic as such decisions will be taken after careful examination by the experts.            		  
2021-06-12,"Initially not expecting to feature in the second Test against England, New Zealand pacer Trent Boult is hopeful that achieving game fitness rather than bowling in the nets            		  "
2021-06-12,Earlier reports had said only one civilian was injured in this incident.            		  
2021-06-12,"Opener Rohit Sharma countering Trent Boult's incoming deliveries will make for a fascinating contest, something that Virender Sehwag will be looking forward to during the WTC final            		  "
2021-06-12,"A new study on coronavirus on surfaces of patient rooms in hospitals, efficacy data from phase 3 trials of Covaxin to be published in 7-8 days, and more-news relevant to India's fight against the pand            		  "
2021-06-12,"As companies weigh their options, many are canvassing employees to determine how many have already received a shot            		  "
2021-06-12,As many as 249.6 million doses have been administered so far            		  
2021-06-12,The much-awaited cabinet reshuffle would be the first such rejig of the Narendra Modi cabinet after it was voted back to power in the 2019 Lok Sabha polls.            		  
2021-06-12,"Odisha reported 4,852 new Covid-19 cases on Saturday            		  "
2021-06-12,A few days ago he relinquished the party membership also.            		  
2021-06-12,"Recently, reports surfaced about a data leak affecting 150 million users registered on the Co-WIN portal had surfaced.            		  "
2021-06-12,"Kolkata Municipal Corporation's
WhatsApp chatbot for vaccination registration and slot booking  has crossed the 75,000 plus appointment bookings since its  launch on May 15, a senior official said.            		  "
2021-06-12,"The total combined capacity of the 17 plants is 7,300 litres per minute (LPM).            		  "
2021-06-12,The Aam Aadmi Party (AAP) is in opposition in the Congress-governed Punjab where Assembly polls is slated for early next year.            		  
2021-06-12,The meeting is taking place after the 43rd meeting of the Council on May 28 announced a series of duty concessions on Covid relief items in addition to relaxation of compliance measures for taxpayers            		  
2021-06-12,"More than 258.7 mn Covid vaccine doses have been provided to states and union territories so far through the Centre and direct state procurement category, the Union health ministry said on Saturday            		  "
2021-06-12,The US space agency is seeking proposals for two new private astronaut missions to the International Space Station (ISS).            		  
2021-06-12,"South Korea's top economic policymaker said the government plans to provide support to help around 1,000 auto parts makers transform into key suppliers of next-generation automobiles by 2030.            		  "
2021-06-12,Costa Rican economist Rebecca Grynspan will be the first woman and Central American to lead the Geneva-based organization            		  
2021-06-12,Successful variants often have a biological advantage -- through mutation -- that helps them spread more easily among the population            		  
2021-06-12,Moody's Investors Service has downgraded Delhi International Airport Ltd's (DIAL's) corporate family rating and senior secured ratings to B1 from Ba3.            		  
2021-06-12,"Fast food chain McDonald's has suffered a data breach in the US, South Korea and Taiwan, saying no customer financial information was leaked.            		  "
2021-06-12,"Brazil on Friday reported 2,216 more deaths from COVID-19 and 85,149 new cases in the last 24 hours, the Ministry of Health said.            		  "
2021-06-12,"Some of Indian government's actions, including restrictions on freedom of expression, have raised concerns that are inconsistent with the country's democratic values, a top US official has said            		  "
2021-06-12,"Diesel price on Saturday breached the Rs 100 per litre mark in Rajasthan after yet another increase in fuel rates, which also led to Karnataka becoming the 7th state to record Rs 100 a litre petrol            		  "
2021-06-12,Delhi Chief Minister Arvind Kejriwal on Saturday cautioned that the chances of the third wave of the Covid-19 pandemic were quite real            		  
2021-06-12,The Shiromani Akali Dal (SAD) and the Bahujan Samaj Party (BSP) formed an alliance on Saturday for the 2022 Punjab Assembly election.            		  
2021-06-12,"Due to a shortage of vaccines in Indore, district health authorities on Friday opened only nine vaccination centres out of 350 for administering the second dose of Covid vaccine to beneficiaries.            		  "
2021-06-12,"Heavy rains lashed Mumbai in 24 hours till Saturday morning, no major water logging was reported and local trains as well as city buses largely ran as per their normal schedule, officials said            		  "
2021-06-12,"Demand for the Covid-19 vaccine has slowed down so much that they have given millions of doses back to the federal government, even though less than half of their total populations are vaccinated            		  "
2021-06-12,The United States plans to push democratic allies on Saturday to publicly call out China for forced labour practices as the Group of Seven leaders gather at a summit            		  
2021-06-12,"Automobile lighting major Lumax Industries has reported revenue of Rs 504 crore for Q4 FY21 as against Rs 387 crore in the same period of previous fiscal, marking a 30 per cent increase            		  "
2021-06-12,The Bombay High Court on Friday has ordered a judicial inquiry in the matter of the Malad building collapse that claimed the lives of 12 people.            		  
2021-06-12,"Samyukta Kisan Morcha (SKM) will stage demonstrations outside Raj Bhawans across the country on June 26 and observe the day as ""Kheti Bachao, Loktantra Bachao Diwas""            		  "
2021-06-12,"Iraq's oil sector is rebounding after a catastrophic year triggered by the coronavirus pandemic, with key investment projects on the horizon, Iraq's oil minister said Friday.            		  "
2021-06-12,"An SBO is a person holding a beneficial interest of at least 10 per cent whether acting alone, together or through one or more individuals or trust, in a company            		  "
2021-06-12,Pakistan government employees on Friday demanded 25 per cent hike in their salaries and protested against the 10 per cent hike provision proposed in the national budget for FY2021-22            		  
2021-06-12,The India Meteorological Department (IMD) on Saturday predicted a thunderstorm with light to moderate intensity rain at many places over Uttarakhand and Uttar Pradesh during the next 2 hours.            		  
2021-06-12,"The Japanese government is considering easing the Covid-19 restrictions in Tokyo and Osaka from June 21, an official said            		  "
2021-06-12,"According to IMA, Bihar recorded 111 deaths, Delhi--109, Uttar Pradesh--79, West Bengal--63, and Rajasthan--43            		  "
2021-06-12,"The Pakistan Cricket Board (PCB) will bid for five major events of the International Cricket Council (ICC) during the 2024-2031 cycle, including an edition of the Champions Trophy and World T20 Cup            		  "
2021-06-12,"Facebook gas acquired BigBox VR, makers of the popular battle royale virtual reality game titled Population: One for an undisclosed sum            		  "
2021-06-12,Indian-origin journalist Megha Rajagopalan has won Pulitzer Prize exposing China's mass detention camps for Muslim Uighurs and other minority ethnicites            		  
2021-06-12,"Kevin Kishore Kaul, a Kashmiri is wading into a crowded field of candidates betting that California will likely hurtle into a recall election for Governor in 2021            		  "
2021-06-12,Italy waited a long time for this European Championship to start and then showed Friday just how eager the team was to play the tournament opener            		  
2021-06-12,"Sri Ganganagar, a small city in northernmost part of Rajasthan, has become the first city in the country where retail prices of both auto fuels -- petrol and diesel -- have crossed the century mark            		  "
2021-06-12,"The daily Covid count in India remained below the 100,00mark for the fifth consecutive day with the country reporting 84,332 fresh cases, its lowest in 70 days            		  "
2021-06-12,"Amid the ongoing political turmoil in Nepal, a provincial lawmaker from the opposition Nepali Congress has threatened to kill caretaker Prime Minister KP Sharma Oli            		  "
2021-06-12,Prime Minister Narendra Modi expressed happiness at the United Nations Development Programme highlighting its salient features            		  
2021-06-12,"Ishant's remarks came ahead of the World Test Championship (WTC) final against New Zealand, slated to begin on June 18            		  "
2021-06-12,The Jammu and Kashmir government has suspended 13 officers for unauthorised withdrawal of developmental funds            		  
2021-06-12,G7 leaders are expected to unveil a global anti-pandemic action plan on Saturday to ensure that a devastation like the one caused by the ongoing Covid-19 crisis is never repeated in the future            		  
2021-06-12,United States is helping India in its time of need amid a raging second wave of Covid just like it extended help when the hospitals here were strained due to the pandemic            		  
2021-06-12,"The hunt for the origin of coronavirus shows science, democracy and sense of inquiry can overcome politics, ideology and omerta codes            		  "
2021-06-12,The Pentagon has announced $150 million of security assistance package for Ukraine to enhance its defense capability            		  
2021-06-12,"The overall global Covid-19 caseload has topped 174.7 million, while the deaths have surged to more than 3.78 million, according to the Johns Hopkins University.            		  "
2021-06-12,"Japan has filed a complaint with the World Trade Organization (WTO) over China's anti-dumping duties on their stainless steel products, saying tariffs of up to 29% violate international trade rules            		  "
2021-06-12,The Joe Biden administration said on Friday it has dismantled a Trump-era government office to help victims of crimes committed by immigrants            		  
2021-06-12,US Secretary of State Antony Blinken spoke with Chinese Communist Party (CCP) Politburo Member and Director of the Office of the Foreign Affairs Commission Yang Jiechi on phone            		  
2021-06-12,"Russian President Vladimir Putin said that he is not worried about being called ""killer"" by his US counterpart Joe Biden            		  "
2021-06-12,The move comes amid concerns that the fiscal deficit may exceed the FY22 target of 6.8% of GDP            		  
2021-06-12,Dominica High Court has denied bail saying that he has no ties to Dominica and the court cannot impose any conditions which will assure it that he wouldn't abscond            		  
2021-06-12,"South Korea reported 565 more cases of Covid-19 as of midnight Friday compared to 24 hours ago, raising the total number of infections to 147,422            		  "
2021-06-12,Mumbai has been witnessing heavy rainfall for past few days now as the southwest monsoon hit the financial capital of India on June 9            		  
2021-06-12,"Hackers from China used unique malicious software to hack websites of Russian government agencies for the purpose of stealing confidential government data, according to a report            		  "
2021-06-12,"Investor sentiment rose in Europe after the European Central Bank raised its growth and inflation projections on Thursday, and also renewed a pledge to keep stimulus flowing            		  "
2021-06-12,Andhra Pradesh Education Minister Adimulapu Suresh on Friday said that the state government is trying to conduct examinations for Class 10 and intermediate keeping students' future in mind            		  
2021-06-12,"The proposed legislation targets the structure of the companies and could break them up, a radical step for Congress to take toward a powerful industry            		  "
2021-06-12,Kerala Chief Minister Pinarayi Vijayan on Friday announced a 100-day action plan to help the state tide over the economic slowdown triggered by the second wave of the COVID-19 pandemic.            		  
2021-06-12,"A day after a group of Congress MLAs met former Rajasthan Deputy Chief Minister Sachin Pilot, party legislator PR Meena said the party's central leadership should address the issues raised by Pilot            		  "
2021-06-12,"The Joe Biden administration seeks to work with the Indian government and Internet businesses to ensure that freedom of expression is respected, a senior US official has told lawmakers            		  "
2021-06-12,Prime Minister Narendra Modi will be participating in the outreach sessions of the UK-hosted G7 virtual summit in Cornwall in the United Kingdom            		  
2021-06-12,"Sources said while there are no plans to meet Rahul Gandhi, a meeting is expected with Rajasthan In-charge Ajay Maken and General Secretary, Organisation KC Venugopal            		  "
2021-06-12,"The COVID positivity rate has dropped to 1.6 per cent, while recovery rate has crossed 92 per cent in Jammu district, said Deputy Commissioner Anshul Garg on Friday            		  "
2021-06-12,"European Union leaders will threaten British Prime Minister Boris Johnson with a trade war over Northern Ireland, The Times reported on Friday, without citing sources            		  "
2021-06-12,"Pakistan government on Friday proposed Pakistani rupees 8,487 billion budget for the next financial year with a fiscal deficit target at 6.3 per cent of gross domestic product (GDP)            		  "
2021-06-12,"Italy on Friday suspended the use of the AstraZeneca vaccine for people under 60 years old, health officials announced at a weekly press conference on the Covid-19 pandemic            		  "
2021-06-12,Telangana has decided to give them mobile phones containing all the necessary numbers including that of the District Child Protection Officer as well as helpline and emergency numbers            		  
2021-06-12,"Coronavirus live updates: Tamil Nadu recorded 15,759 cases in the last 24 hours. Kerala registered 14,233 infections, Maharashtra 11,766, Karnataka 8,249, Delhi 238. Stay tuned for corona-related news            		  "
2021-06-12,West Bengal Chief Minister Mamata Banerjee on Friday welcomed back her former close aide Mukul Roy into the party fold from the BJP and claimed that more leaders from the BJP will come back            		  
2021-06-12,"Only about half of US states still provide daily updates on key Covid-19 metrics such as new cases, deaths, hospitalizations and vaccinations, a trend that worries some public health experts            		  "
2021-06-12,Apple said it recently instituted a limit of 25 identifiers such as email addresses or phone numbers per legal request            		  
2021-06-12,"Dehradun reported 21 new cases of black fungus and six deaths on July 10, informed the state Health Department on Friday            		  "
2021-06-12,"Residences and offices of the TRS MP Nama Nageswara Rao and the directors of Ranchi Expressway Limited were raided in connection with Rs 1,064 crores bank fraud case, sources said            		  "
2021-06-12,Here are the best of Business Standard's opinion pieces for Saturday            		  
2021-06-12,"In a June 2 application, the coffee chain sought approval to use its name in ""providing stadium and training facilities for sports and entertainment activities""            		  "
2021-06-12,44th meeting of the Goods and Services Tax (GST) Council today is expected to take a decision on relief in respect of Covid-19 related individual items based on the report of Group of Ministers            		  
2021-06-12,"India on Friday said the onus is on Islamabad to create a conducive atmosphere by taking ""credible, verifiable"" action to not allow any territory under its control to be used for cross terrorism            		  "
2021-06-12,A State Department official said the number of doses and the timeline are still being worked out            		  
2021-06-12,Debt reduction led to sharp improvement in leverage ratio            		  
