Date,Headline
2020-05-13,Significant advantages exist in Reliance-Aramco deal: Report
2020-05-13,Reliance Industries' slew of equity deals to drive improvement in Co rating: Fitch
2020-10-05,Reliance ditches Viacom18 merger talks with Sony – has its eyes set on building India's No.1 OTT and broadcast platform
2021-06-11,"Coal India, Suven Pharma, Reliance Industries, Power Grid and other stocks to watch out for on June 11"
2021-06-10,"Reliance Industries, Divis Labs, Bajaj Finance, Tata Motors and other stocks to watch out for on June 10"
2020-04-23,Facebook buying into Reliance Jio - More to it than meets the eye?
2020-04-23,"Facebook deal to help Reliance monetise platforms, deleverage: Fitch"
2020-06-21,CII suggests steps to improve ease of doing business to achieve self-reliance
2020-06-19,Mukesh Ambani says Reliance is net debt-free 9 months before the deadline – share price jumps almost 7%
2021-03-19,"Reliance, Future Retail, Easy Trip Planners and other stocks to watch out for March 19"
2021-03-18,"Kishore Biyani vs Amazon – Delhi High Court brings up ‘civil prison’ for violation by Future Group, asks for recall of approvals granted to Future Retail-Reliance deal"
2020-07-30,"Reliance beats street with record profit on back of gains from stake sale, Jio"
2020-07-05,Reliance plans to up aviation fuel stations by 50 pc
2021-06-02,"Mukesh Ambani calls Jio, Reliance Retail and oil-to-chemicals as 'hyper growth engines'"
2021-05-29,Trump pours scorn on Paul Ryan as 'a curse' to the Republican Party after ex-speaker criticized the GOP's reliance on 'one personality'
2020-06-05,From SoftBank to Google's Waymo – all you need to know about Reliance Jio's latest investor Mubadala's investments
2020-12-18,Reliance and BP start production from KG-D6 oil field – off the coast of Kakinada
2020-05-13,"One of Elon Musk's most vocal supporters just wrote a 3,000-word op-ed slamming his opinions on the coronavirus and reliance on 'Tesla superfans'"
2020-04-30,Crashing crude oil cracks Reliance Industries fourth-quarter profit by nearly 40%
2020-10-03,Reliance Retail has now raised $4.4 billion – with fresh investments from TPG and GIC
2021-06-03,"Reliance Industries, Rossari Biotech, Tata Power and other stocks to watch out for on June 3"
2020-04-22,WhatsApp is the secret sauce in the deal between Facebook and Reliance Jio
2020-06-19,"Reliance rally lifts markets; Sensex soars 524 pts, Nifty tops 10,200"
2021-03-09,Mukesh Ambani targets to take 50 million MSMEs online as Reliance launches JioBusiness
2020-07-30,Reliance Retail’s contribution to RIL as Mukesh Ambani preps for fundraising will be key⁠— aside from the oil shock
2020-07-04,Reliance Foundation Young Champs conferred two-star academy status by AFC
2021-05-29,Trump pours scorn on Paul Ryan as 'a curse' to the Republican Party after ex-speaker criticized the GOP's reliance on 'one personality'
2021-05-28,"Despite the nearly 6% rally, this is only the fourth best week for Reliance Industries’ shares this year"
2020-06-01,Reliance mega rights issue oversubscribed 1.1 times
2020-12-16,"India to issue a list of ‘trusted’ telecom vendors from where Reliance Jio, Bharti Airtel, and others can procure equipment"
2020-05-12,"Modi's 'self-reliance' and 'local thrust' looks like a jab at China, sounds like RSS' 'swadeshi' ⁠— and it will be music to Baba Ramdev's ears"
2020-04-06,Mukesh Ambani doubles his bet on edtech – Reliance Industries invests ₹500 crore in startup Embibe
2020-04-30,40% tariff hike boosts Reliance Jio’s profit by 73% in just three months ⁠— and there’s a lot more coming from the Mukesh Ambani stable
2020-10-01,"Reliance Retail cashes yet another hefty cheque – Mubadala to invest ₹6,247.5 crore"
2021-06-02,"Mukesh Ambani calls Jio, Reliance Retail and oil-to-chemicals as 'hyper growth engines'"
2020-04-22,Facebook and Reliance Jio will still compete with each other in the market says FB India MD Ajit Mohan
2020-06-19,"Future Retail share price is at its highest since lockdown as stake sale with Reliance, Premji or Samara is on the cards"
2021-02-23,Mukesh Ambani’s Reliance hives off O2C business ahead of Aramco deal
2020-07-30,Reliance Retail’s profit more than halves but Mukesh Ambani puts the spotlight on surging orders on JioMart
2020-07-04,Reliance launches unlimited free conferencing app JioMeet as competition to Zoom
2021-05-28,"Despite the nearly 6% rally, this is only the fourth best week for Reliance Industries’ shares this year"
2021-05-19,"Airtel, Reliance Jio announce free recharge packs and benefits for subscribers – check out which telco has the best offers"
2020-06-01,Lenders to Reliance Naval seek EoIs for sale
2020-12-04,Airtel records 3.8 million new subscribers in September – more than twice that of Reliance Jio’s additions
2020-05-11,$8 billion and counting – Asia's richest man is reportedly in talks to raise more money for Reliance Jio
2020-04-03,"Mukesh Ambani's Reliance Industries will add ₹25,000 crore to its mammoth pile of debt"
2020-04-30,"Reliance to raise Rs 53,125 cr via 1:15 rights issue at Rs 1,257 per share"
2020-10-01,Reliance has bagged nearly half of all private equity investments in India this year – and that doesn’t include the $10 billion from Facebook and Google
2021-05-29,Trump pours scorn on Paul Ryan as 'a curse' to the Republican Party after ex-speaker criticized the GOP's reliance on 'one personality'
2020-04-22,"Sensex rallies 743 pts on Reliance booster; Nifty tops 9,150"
2020-06-19,"Reliance Industries shares jump 2 pc; market valuation rises by Rs 16,346 crore"
2021-02-19,Mittal vs Ambani battle heats up as Airtel beats Reliance Jio to become the top telco in the country
2020-07-28,"Reliance is building up it’s retail empire – ahead of Future deal, Reliance Brands adds Zivame in its cart"
2020-07-03,Reliance Jio opens web conferencing app JioMeet for public
2021-05-19,"Airtel, Reliance Jio announce free recharge packs and benefits for subscribers – check out which telco has the best offers"
2021-05-14,Reliance Jio is offering a ₹75 top-up for JioPhone users on the next recharge ⁠— conditions apply
2020-05-31,Reliance Entertainment Group CEO Shibasish Sarkar tests positive for COVID-19
2020-12-03,Reliance Infratel resolution plan approved by NCLT Mumbai – Jio to pick up the tower unit
2020-05-11,Reliance Industries share price jumps over 2% as brokerages cheer the upcoming rights issue
2020-03-11,Reliance Group said its entire debt from Yes Bank is secured; committed to repay
2020-04-02,Mukesh Ambani's Reliance Industries board to meet tomorrow and discuss fund raising
2020-04-30,"Reliance posts 37 pc drop in Q4 profit, announces Rs 53,125 cr rights issue"
2020-09-30,"Reliance Retail raises another ₹1,875 crore as Silver Lake comes back with an additional investment"
2021-05-28,"Despite the nearly 6% rally, this is only the fourth best week for Reliance Industries’ shares this year"
2021-05-19,"Airtel, Reliance Jio announce free recharge packs and benefits for subscribers – check out which telco has the best offers"
2020-04-22,The Indian startups backed by Reliance Industries and Facebook have a lot in common
2020-04-22,Here's why Facebook's Mark Zuckerberg is paying top dollar for a stake in Mukesh Ambani's Reliance Jio
2020-06-19,Reliance is now net debt-free after Rs 1.69 lakh cr fund raising: Mukesh Ambani
2020-06-19,Reliance is net-debt free after Rs 1.69 lakh cr fund raising: Mukesh Ambani
2021-02-11,"This Indian supplier to Samsung, Motorola and Reliance Jio had a crazy run in 2020— this year might be a bit more testing"
2021-02-11,"Amazon, Future Retail battle far from over – Jeff Bezos-led e-commerce giant moves Supreme Court to stop Kishore Biyani’s deal with Reliance"
2020-07-23,Reliance Industries becomes the first Indian company to reach a market capitalisation of ₹13 lakh crore
2020-07-22,Reliance Industries hits all time high of ₹2000 a share
2020-07-03,Reliance Industries shares gain nearly 2 pc after Intel Capital deal
2020-07-03,Reliance Industries shares gain over 1 pc after Intel Capital deal
2021-05-14,Reliance Jio is offering a ₹75 top-up for JioPhone users on the next recharge ⁠— conditions apply
2021-05-12,"Vodafone Idea shares up by 10% as it adds subscribers for the first time in 15 months – Airtel, Reliance Jio expand their user base"
2021-05-12,"Vodafone Idea shares up by 10% as it adds subscribers for the first time in 15 months – Airtel, Reliance Jio expand their user base"
2021-05-03,Reliance Industries’ earnings disappoint markets – stocks fall by over 2% in morning trade
2020-05-31,Reliance on track to achieve zero net debt: Report
2020-05-29,"HC restrains OLX, Quikr from posting fake Reliance job ads on web portals"
2020-12-02,"Top stocks to watch — Dr Reddy’s Lab, Reliance Power, Hero Moto, Eicher Motors, TVS Motor, Phoenix Mills, Coal India, and others"
2020-05-11,Sensex rallies over 500 pts; Reliance jumps 3 pc
2020-03-11,Reliance Industries shares rebound over 3 pc
2020-03-30,Reliance Industries announces Rs 500 crore contribution to PM CARES Fund
2019-12-22,Reliance-BP petrol pumps to dent PSU market share: Morgan Stanley
2020-04-30,Reliance to hive off $75 billion oil-to-chemicals business into separate unit for sale to Aramco
2020-09-30,"Reliance Retail seals its third deal this month – General Atlantic to invest ₹3,675 crore"
2021-05-14,Reliance Jio is offering a ₹75 top-up for JioPhone users on the next recharge ⁠— conditions apply
2020-04-22,"Facebook to invest $5.7 billion in Reliance Jio, India's popular mobile internet service"
2020-06-18,Reliance gets $1.5 billion from Saudi for Jio even as the $15 billion Aramco deal waits in the wings
2021-02-04,Reliance subsidiary to sell all of its upstream assets in Marcellus shale play for $250 million
2020-07-20,"Reliance Jio seeks spectrum for 5G trials, plans to sell tech overseas"
2020-07-03,Reliance Jio launches JioMeet app to take on Zoom
2021-05-03,Reliance Industries’ earnings disappoint markets – stocks fall by over 2% in morning trade
2021-05-03,"Reliance Industries, HDFC Bank, Hero MotoCorp and other stocks to watch out for on May 3"
2020-05-29,Microsoft and Mukesh Ambani's Reliance Jio are already partners in India⁠— but Satya Nadella reportedly wants more
2020-11-17,Urban Ladder was the fourth startup from Kalaari Capital’s portfolio to be sold to Reliance – the investment firm’s MD is of the belief ‘selling does not mean sellout’
2020-05-10,Reliance fixes May 14 as record date for rights issue
2017-03-16,Telecom tribunal refuses stay on Reliance Jio; asks TRAI to re-examine issues
2019-10-21,Reliance Jio is now trading up as it drops its cheapest prepaid packs
2019-06-12,Reliance Industries & BP dig for new hope in another project at its flailing gas basin
2020-03-11,Reliance Industries shares rebound nearly 3 pc
2020-03-30,"Reliance Jio users can now recharge at bank ATMs, here’s how to do it"
2019-12-20,Shell-Reliance give up Panna-Mukta fields; western offshore fields to revert to ONGC
2020-04-30,Reliance Retail sold more stuff in March than during last Diwali – no wonder profit jumped 20% in the latest fourth quarter
2020-09-23,"India's biggest retailer Reliance Retail is now valued at $57 billion, following a fresh investment from KKR"
2021-05-12,"Vodafone Idea shares up by 10% as it adds subscribers for the first time in 15 months – Airtel, Reliance Jio expand their user base"
2020-04-21,Reliance Infrastructure resumes toll operations at its road projects
2020-06-15,Reliance-backed Fynd turns your screen into a mirror and lets you try make-up products virtually before buying them
2021-02-04,Kishore Biyani says SEBI ban won't stop Future Group's deal with Reliance
2020-07-20,"If Alibaba and Tencent are rolled into one, it may look a lot like Mukesh Ambani’s Reliance Jio ⁠— only much smaller for now"
2020-07-03,Reliance Jio gets ₹1894.5 crore from Intel Capital – the 12th investment in 11 weeks
2021-05-03,"Reliance Industries, HDFC Bank, Hero MotoCorp and other stocks to watch out for on May 3"
2021-04-30,Here’s how Mukesh Ambani’s Reliance Industries more than doubled its quarterly profit
2020-05-26,Mukesh Ambani’s youngest son Anant Ambani who said “Reliance meri jaan hai” joins Jio Platforms as Director
2020-11-15,Reliance Retail acquires Urban Ladder for ₹182 crore – at a sixth of the startup’s peak valuation in 2018
2020-05-10,"COVID-19 may force auto cos into more automation on shop-floor, less reliance on contract labour: EY"
2017-03-15,Google’s take two of Android One with Reliance Jio
2019-10-18,Reliance Industries posts record profit-- retail shines despite a slowdown
2019-06-02,"Today's top tech news: Google loses $10 million, Pichai gives up stock award and Reliance Jio cuts jobs"
2019-08-12,Mukesh Ambani's speech at the Reliance Industries AGM had ten big takeaways
2020-01-26,Reliance's partnership with Saudi Aramco not a retreat from energy business: Report
2017-07-26,Reliance Jio effect? Vodafone rolls out new 4G plan with 70 GB data
2020-03-11,Reliance share price rebounds by 6% as crude prices rise
2020-03-11,Reliance Industries and ICICI Bank lead Sensex recovery which surged by 300 points
2020-03-27,"Reliance Industries' shares worth over Rs 9,145 cr change hands"
2020-03-26,"Reliance Industries promoters buy and sell shares worth ₹11,000 crore in open market"
2019-12-18,"The top three stocks in last five years — Reliance Industries, Indiabulls Ventures, and IndusInd Bank"
2019-12-17,Jio Fiber Plans: Here's how Reliance Jio's broadband fiber plans fare against other companies
2020-04-30,"After Facebook, Reliance in talks with other investors to offload more stake"
2020-04-30,Mukesh Ambani offers Reliance Industries shareholders 1 new share for every 15 held⁠— at a price 14% below market value
2020-09-23,Reliance Jio is now twice as valued as Airtel that is down 25% from its peak in May
2021-05-03,Reliance Industries’ earnings disappoint markets – stocks fall by over 2% in morning trade
2021-05-03,"Reliance Industries, HDFC Bank, Hero MotoCorp and other stocks to watch out for on May 3"
2020-04-21,Lockdown: Thales Reliance Defence Systems resumes operations
2020-04-20,Maha lockdown: Dassault-Reliance firm resume operations
2020-06-14,Reliance raises Rs 1.04 lakh cr from marquee investors in 8 weeks
2020-06-13,"EXCLUSIVE: Inside the Reliance Jio deals – Akash Ambani was the one to choose Facebook, the next big investments and the ideas sold to investors"
2021-02-02,"Amazon gets interim relief, Delhi High Court directs Future Retail to maintain status quo on deal with Reliance"
2021-01-28,"Mukesh Ambani's Reliance Jio is the fifth strongest brand globally, as per Brand Finance Global rankings"
2020-07-18,Mukesh Ambani gave Google and Facebook a discount on Reliance Jio stake ⁠— here’s why
2020-07-15,"Mukesh Ambani AGM speech highlights — Reliance Industries announces Jio Glass, Google partnership and plans to build a new smartphone"
2020-07-02,"Self-subservience, not self-reliance, say Left parties on allowing pvt players in Railways"
2020-07-02,"Self-subservience, not self-reliance: CPI(M) on allowing pvt players in Railways"
2021-04-30,Here’s how Mukesh Ambani’s Reliance Industries more than doubled its quarterly profit
2021-04-30,Reliance Retail emerges as the fastest growing segment for Mukesh Ambani
2021-04-30,Reliance Jio is making less money off its subscribers than it did 12 months ago
2020-05-26,Reliance launches JioMart across 200 cities; analysts say co eyeing spike in online grocery orders
2020-05-24,Reliance estimates $400 million liability in KG-D6 cost recovery dispute
2020-11-09,Future Retail-Reliance deal: Kishore Biyani's group moves Delhi High Court seeking relief against Amazon — Here’s all that has happened so far
2016-11-22,Vodafone is most vulnerable to losing data customers to Reliance Jio: Analysts
2020-05-08,Reliance Home Finance net loss widens to Rs 238 cr in Q4
2017-03-08,"Reliance Jio underreported revenue by Rs 64 cr, claims draft audit report"
2017-03-07,Anil Ambani’s Reliance Capital sells Paytm stake to Alibaba for Rs 275 crore
2019-10-18,Reliance Jio added fewer subscribers in Q2 but made more money out of them
2019-06-02,"Today’s top tech news: Google loses $10 million, Pichai gives up his stock award and Reliance Jio cuts jobs"
2019-08-12,What to expect from Mukesh Ambani at Reliance Industries' AGM
2020-01-22,Anil Ambani's Reliance Power arm slips into bankruptcy
2017-07-19,This company is going to make 4G VoLTE feature phones for Reliance Jio
2017-07-13,"Airtel, Vodafone, Idea to wait before increasing tariff like Reliance Jio. Here’s why"
2020-03-11,Yet another Anil Ambani company Reliance Home Finance defaults on loans
2020-03-25,Reliance Industries shares zoom nearly 15 pc; reclaims most valued firm tag
2020-03-25,Facebook likely to buy 10% stake in Reliance Jio
2019-12-16,Reliance Industries topples IOC to become India's largest company
2020-04-30,"CCI approves combination between BP Global Investments, Reliance BP Mobility"
2020-04-30,"Reliance Jio Q4 net zooms 177 pc to Rs 2,331 cr"
2020-09-23,"Mukesh Ambani's Reliance Retail gets its second investment in two weeks – KKR invests ₹5,550 crore"
2021-04-30,Here’s how Mukesh Ambani’s Reliance Industries more than doubled its quarterly profit
2021-04-30,Reliance Retail emerges as the fastest growing segment for Mukesh Ambani
2020-04-20,Reliance Jio users can receive incoming calls till lockdown ends without a recharge
2020-06-13,"Reliance Jio lands its 9th and 10th investment – ₹4,546.80 crore from TPG and ₹1,894.50 crore from LVMH-backed L Catterton"
2020-06-12,Reliance Industries shares jump over 3 pc
2021-01-22,Reliance Jio’s profit grows 15% but new subscribers are the lowest in 7 quarters
2020-07-15,"Reliance Jio 'develops a complete 5G solution from scratch', says Mukesh Ambani"
2020-07-02,"Reliance Jio requested to augment data connectivity at 10,000-bed COVID care centre"
2020-06-28,Reliance pushes back KG-D6 production to Sep/Oct
2021-04-30,Reliance Retail emerges as the fastest growing segment for Mukesh Ambani
2021-04-30,"Reliance Industries, Titan, Ambuja Cement and other stocks to watch out for on April 30"
2020-05-22,Reliance selling 17 pc stake in Jio Platforms in 1 month to help pare half its net debt: Moody's
2020-11-05,Mukesh Ambani cashes in yet another cheque from PIF — Saudi Arabia’s sovereign fund to invest $1.3 billion in Reliance Retail
2016-11-18,Life at Reliance Jio HQ: The place where all the Jio action happens
2020-05-08,Sensex ends 199 pts higher; Reliance Industries rallies over 3 pc
2020-05-08,Reliance Jio’s 2.23% stake sale to Vista means its raised $7.95 billion in under three weeks
2017-03-07,Reliance Jio will be unfazed by Vodafone-Idea merger. Here’s why
2017-03-04,Here’s how Reliance Jio aims to gain 50% market share by 2020
2019-10-18,Reliance Retail surprises with a sharp growth of 27% despite slowdown
2019-10-18,Reliance Industries makes a new pact with BP to sell jet fuel in India
2019-05-30,India’s telecom giant Reliance Jio cuts contractual staff
2019-05-08,The creditors of Anil Ambani’s cash-strapped Reliance Communications are finally making it undergo bankruptcy proceedings
2019-08-11,Reliance Jio Gigafiber launch – Mukesh Ambani’s trump card on the Indian internet space
2019-08-08,Anil Ambani’s Reliance Capital gets a clean chit from the Board on audit violations
2020-01-21,Dhananjay Tiwari named Reliance Capital CEO
2017-07-11,Reliance Jio’s Dhan dhana dhan plan to continue with revised tariff
2020-03-09,Reliance Industries' shares dive over 13 pc
2020-03-23,"Reliance sets up India's 1st dedicated Covid-19 hospital, to pay contract workers wages"
2019-12-16,"Reliance to divest Jio's tower assets to Brookfield for Rs 25,215 cr"
2020-04-30,Reliance Nippon Life posts 40 pc rise in PAT to Rs 35 cr for 2019-20
2020-09-18,Amazon pumps in money into MORE to take on the heavyweights Reliance Retail and DMart
2021-04-30,Reliance Jio is making less money off its subscribers than it did 12 months ago
2020-04-20,Reliance Foundation's 'Mission Anna Seva' biggest free meal prog run by any corporate: Nita Ambani
2020-06-12,Reliance Industries' right shares to list on stock exchanges on Monday
2021-01-21,"Future Retail-Reliance deal gets SEBI approval, Amazon says it will continue to fight legally"
2020-07-15,Google is investing $4.5 billion in India's mobile internet giant Reliance Jio and the 2 will make a new affordable Android phone
2020-07-15,"Google picks up a 7.7% stake for ₹33,737 crore in Reliance Jio – the two will now build affordable smartphones for India"
2020-06-25,Fitch upgrades Reliance Industries' rating
2020-06-25,Mukesh Ambani’s Reliance Jio has a new fan⁠— Donald Trump’s right-hand man calls it a 'clean telco'
2021-04-30,Reliance Jio is making less money off its subscribers than it did 12 months ago
2021-04-30,"Reliance Industries, Titan, Ambuja Cement and other stocks to watch out for on April 30"
2021-04-28,Look for this number in Reliance Jio’s earnings⁠ — it will tell you if the tariff will rise
2020-05-22,Reliance Industries shares pare early gains; close nearly 1 pc lower
2020-05-22,Reliance Industries shares gain over 1 pc after KKR deal
2020-11-04,Representatives of Reliance Jio depose before parliamentary panel on data security
2016-11-17,Life at Reliance Jio HQ: The place where all the Jio action happens
2016-10-07,"It's raining offers for iPhone customers, Reliance Jio to offer free services worth Rs. 18,000 for one year to all new iPhone buyers"
2020-05-06,Netmeds partnered with Reliance Retail in April⁠— now Mukesh Ambani reportedly wants a stake
2017-03-03,Roaring data demand leads Reliance Jio to expect over 50% of revenue market
2019-10-18,Reliance Jio added 60 million users so far this year while Vodafone Idea lost 40 million
2019-04-29,Anil Ambani’s woes get compounded with a series of downgrades for three Reliance Group subsidiaries
2019-08-01,"Airtel posts a massive net loss of ₹2,866 crore, as pressure from Reliance Jio rises"
2020-01-21,"Reliance is India's answer to Exxon, AT&T, Amazon - all rolled into one"
2017-07-10,Reliance Jio approaches law enforcement agencies over data breach
2017-07-10,Reliance Jio approaches law enforcement agencies over data breach
2020-03-09,"Reliance Industries logs worst fall in 10 years, as Sensex tanks over 2400 points"
2020-03-23,"Reliance employees who earn less than ₹30,000 will be paid twice a month in the wake of Coronavirus"
2020-03-23,"Reliance to raise face mask production capacity, pay contract employees wages even if no work"
2019-12-13,Reliance Industries is getting into drones with its new purchase
2020-04-30,"Reliance Industries cuts employee salaries by up to 50%, freezes bonuses ⁠— Chairman Mukesh Ambani will forgo full compensation"
2020-04-30,Reliance cuts employees' salary by 10-50%; Ambani to forgo entire salary
2020-09-14,"After Reliance, TCS becomes second Indian firm to cross ₹9 lakh crore market valuation"
2021-04-30,"Reliance Industries, Titan, Ambuja Cement and other stocks to watch out for on April 30"
2020-04-19,Mukesh Ambani-led Reliance's Covid-19 response has resonated the most among people as per Twitter and LinkedIn
2020-04-17,Reliance Industries shares jump over 5 pc after fundraising
2020-06-10,"Goyal holds meeting with officials on ways to boost exports, reduce import reliance"
2020-06-09,Apple should buy DukDuckGo to end reliance on Google: Analysts
2021-01-12,"Amazon writes to SEBI again, asking it to suspend review of the Future Retail-Reliance deal"
2021-01-11,Reliance Capital debenture holders pave the way for asset monetisation
2020-07-15,Jio Glass – Akash Ambani and Isha Ambani announce Reliance’s latest product which offers holographic video calls
2020-06-24,Reliance could soon be ready with the IPOs of Jio and its retail business
2021-04-28,Look for this number in Reliance Jio’s earnings⁠ — it will tell you if the tariff will rise
2021-04-25,"COVID crisis, Reliance earnings, a mid-week market holiday — all the things that might affect Sensex next 5 days"
2020-05-22,"Reliance strikes 5th deal, sells 2.32% in Jio Platforms for ₹11,367 cr to KKR"
2020-11-03,NABARD removes the red flag from Reliance Commercial Finance
2016-11-16,Reliance Jio is going to disrupt the market again; will launch 4G feature phones with unlimited voice calls
2016-10-06,"Reliance Jio takes note of rising attrition rate, gives out 15% salary hike to its top performers"
2020-05-05,"Goldman Sachs, Reliance, Samsung and others onboarding interns virtually during the lockdown"
2017-03-03,"Reliance Jio’s ‘Prime’ membership begins next month. Here’s how it is impact Airtel, Vodafone and Idea"
2017-02-27,Reliance Jio is forcing telecom players to tweak their plans; Airtel may drop roaming charges
2016-09-14,Vodafone is planning to infuse $3 billion in India amid rising competition from Reliance Jio and upcoming spectrum auction
2019-10-16,Reliance backed Fynd launches retail solution for shopkeepers to sell online with their own website and app
2019-10-16,Reliance Jio is paying the price for being the ‘second SIM’ of choice
2019-04-24,Does Mukesh Ambani need Softbank's money to give Reliance Jio a greater flight?
2019-03-15,15 deals have given Mukesh Ambani’s ₹8.5 trillion Reliance Industries a distinct makeover
2019-08-01,Here's why Jeff Bezos may want a stake in Mukesh Ambani's Reliance Retail
2019-07-27,Reddit cofounder Alexis Ohanian explains how he curbs his reliance on his smartphone and reduces his time spent on email to get more done every day
2020-01-20,Reliance Industries shares fall 3 pc
2020-01-20,CCI approves Reliance's divestment of Jio tower assets
2017-07-06,Reliance Jio launches 'JioFi JioGST' starter kit
2017-06-07,Indian IT companies had decreased reliance on H-1B visas in 2016 itself
2020-03-09,"Reliance Jio’s ₹4,999 plan offers less data but sets no daily limits"
2020-03-20,Reliance Jio revises 4G data vouchers to offer double data and off-net minutes
2019-12-13,"Mukesh Ambani’s Reliance Jio has ‘unlimited’ access to finance, says Airtel top boss Sunil Mittal in his clarion call for government support"
2020-04-30,"On Facebook earnings call, Mark Zuckerberg opens up about his deal with Mukesh Ambani’s Reliance Jio"
2020-09-14,Reliance shares hit record high as retail business goes the Jio way to raise funds
2021-04-28,Look for this number in Reliance Jio’s earnings⁠ — it will tell you if the tariff will rise
2020-04-17,Reliance Industries shares jump over 5 pc after fund raising
2020-06-08,Reliance Industries shares reverse early gains; close nearly 1 pc lower
2021-01-09,Reliance Infra completes sale of entire 74% shareholding in Parbati Koldam Transmission Company Limited India Grid Trust
2020-07-15,Reliance to spin off its Oil-to-Chemicals business for new partnerships – Mukesh Ambani says Saudi Aramco deal is still in the works
2020-06-23,Haryana govt enters into agreement with Reliance Jio for distance education programme
2021-04-25,"COVID crisis, Reliance earnings, a mid-week market holiday — all the things that might affect Sensex next 5 days"
2021-04-23,Tesla hires former Reliance top exec Chithra Thomas as its HR head for India
2020-05-21,Idea of self-reliance aimed at ensuring India can be global nerve centre of supply chains: FS
2020-11-02,Reliance-backed AJIO is riding the Indian e-commerce wave — poses tough competition to Myntra
2016-11-13,"TCS, Reliance, Infosys among the top six companies to lose in market valuation"
2017-01-27,"Reliance Jio interconnectivity situation ‘better’ than before, congestion levels go down"
2016-10-01,TRAI to investigate whether Reliance Jio’s free voice offer is predatory for other telcos
2020-05-05,"Facebook’s investment in Reliance Jio boosts RIL share value by ₹50,000 crore"
2017-02-21,"15 points Mukesh Ambani made while unleashing Reliance Jio freebies, prime membership"
2016-09-13,"Banks reject corporate guarantee on loans to Reliance Defence, insist on Anil Ambani’s personal guarantee"
2019-10-15,Reliance Jio is offering a new bot maker for small businesses to build their own video call assistants
2019-03-13,HDFC just became the third Indian company after Reliance and TCS to achieve a market value of more than ₹6 trillion
2019-07-26,Vodafone Idea clocks a loss over $700 million in 3 months as Reliance Jio's price war continues to bite
2020-01-20,Panicking Vodafone-Idea users are porting to Airtel and Reliance Jio — but that might not be the solution they're looking for
2020-01-19,"Reliance outpaces industry in petrol, diesel sales from its outlets"
2017-05-30,"Reliance Communications says it will clear Rs 25, 000 crore debt by September end"
